n_train,num_eigs,min_eig,max_eig,mean_eig,median_eig,std_eig,trace,top_eigenvalue,R1,effective_rank
10,25,1.7283658641564702e-07,35.1456283740784,1.8167818240674452,0.040054859767999225,6.932291406394318,45.41954560168613,35.1456283740784,0.773799647453401,2.299663299116714
20,25,5.235749538657716e-06,36.885780144982576,3.0256532995321486,0.07847240698512363,7.901800770467261,75.64133248830372,36.885780144982576,0.4876405389961389,4.358900907547092
30,25,5.669853321633914e-07,33.27938440096608,2.711222322999001,0.0711527357776796,6.963934684784381,67.78055807497503,33.27938440096608,0.49098717015806065,4.7916674368451275
40,25,3.618570370350864e-08,13.678793670590366,1.1451655634548725,0.001522778663584945,2.9741390881625938,28.62913908637181,13.678793670590366,0.47779270027375065,4.174339010214251
50,25,1.6051496608406685e-09,12.891681273033003,0.9676399043315381,0.0004322347100687654,2.740954111615626,24.190997608288452,12.891681273033003,0.5329123454014143,3.598340235969459
60,25,3.2683778621469752e-09,11.81492715503602,0.9359437597196653,0.00027075646818098517,2.6125242373659323,23.398593992991632,11.81492715503602,0.5049417566959296,3.4852374433876667
70,25,1.5395861316659722e-10,3.5585491508029037,0.3581704706307458,1.4980978806118368e-05,0.8762537215985398,8.954261765768646,3.5585491508029037,0.3974140184740772,4.064503281458639
80,25,1.7468438306267252e-11,6.525661411831404,0.4043110677870125,1.0043232069443823e-05,1.3085120886671808,10.107776694675312,6.525661411831404,0.6456079916436089,2.956585310639488
90,25,2.3894889917456194e-08,8.153939287001203,0.6941816846336438,0.00016595352274063318,1.7559220264981534,17.354542115841095,8.153939287001203,0.46984468000215046,4.31086789377093
100,25,8.061741762255348e-13,10.749601134574135,0.5599251383309187,2.6117754490031203e-05,2.1160605409881663,13.998128458272967,10.749601134574135,0.7679313107189744,2.1899690109943544
125,25,1.9961699251917984e-12,4.238842232133122,0.2823705886910284,1.6518253868742118e-08,0.8823220238086587,7.059264717275709,4.238842232133122,0.6004651195130367,2.8363250736131933
150,25,2.6304780597651684e-12,3.266907283870128,0.3050158817726184,5.71472939478996e-07,0.7762344836717538,7.62539704431546,3.266907283870128,0.4284245482411338,3.7599782674389504
175,25,7.628953023081961e-12,3.880394846922278,0.2704535781875053,1.5545768265786622e-07,0.8310242075863986,6.761339454687633,3.880394846922278,0.5739091895810677,2.766502072693787
200,25,1.3496346987486707e-12,3.37486313885549,0.27755794998100786,1.8749991010708895e-06,0.8555412379283261,6.9389487495251965,3.37486313885549,0.4863651917138627,2.7248344461079377
250,25,8.343014282749787e-13,2.510639539102488,0.2562260446767609,1.3234642347063329e-08,0.6398747638031531,6.405651116919023,2.510639539102488,0.39194134886166737,3.6855104550769946
300,25,1.3421865183553124e-12,2.9255971569417736,0.24865401736795822,8.909394944649262e-08,0.6607692488110383,6.216350434198955,2.9255971569417736,0.4706293810025156,3.6657923692380185
400,25,1.906954314268545e-12,2.452693081145421,0.24445371365115373,2.113745218782115e-07,0.6171880384902119,6.1113428412788435,2.452693081145421,0.40133455851614064,3.8708179611371847
500,25,1.0503613558663241e-11,2.156222774636635,0.20306498759666178,3.160156185835086e-07,0.5165863344150587,5.076624689916544,2.156222774636635,0.4247355095836485,3.7873429200970175
750,25,5.669219410591248e-14,1.9926361465152622,0.2246732127975056,6.001840703295601e-08,0.5357848419434148,5.61683031993764,1.9926361465152622,0.35476167749667487,4.268178054607199
1000,25,2.4953884049546813e-13,2.4259205341425325,0.18398100626621097,1.0366481729820587e-06,0.5214910883736747,4.599525156655274,2.4259205341425325,0.5274284739224333,3.3512228788726532
1250,25,5.020324391524183e-14,1.6121171584123826,0.15444145100553217,1.3380627860282483e-08,0.39557694142143013,3.861036275138304,1.6121171584123826,0.4175348387149343,3.7237807115528656
1500,25,9.793754767438581e-14,1.3829120942934303,0.15468810321722107,8.20179253671356e-08,0.36592670727211113,3.8672025804305266,1.3829120942934303,0.35760011675919856,4.167474493974887
1750,25,-1.674418948706169e-17,1.2101745427408999,0.1378608446476783,1.3829601468671033e-08,0.3098465573228909,3.4465211161919576,1.2101745427408999,0.35112929877476423,4.533323200239536
2000,25,2.7477765796412936e-15,1.1318582809932467,0.13458060121884943,2.071994730471407e-08,0.2970168716099308,3.364515030471236,1.1318582809932467,0.33641052892984635,4.949474703429897
2500,25,8.454451339066644e-14,1.4053713131422283,0.13270948797361898,2.5291488046757557e-08,0.32543305264878103,3.3177371993404745,1.4053713131422283,0.42359331939298833,4.163064300800217
5000,25,2.2579541386907e-17,0.9058291851912035,0.10633508071029268,1.7767925645154221e-07,0.21567396521862886,2.658377017757317,0.9058291851912035,0.340745191197668,5.750930478981224
