n_train,num_eigs,min_eig,max_eig,mean_eig,median_eig,std_eig,trace,top_eigenvalue,R1,effective_rank
10,100,3.709706317601444e-13,12.296350754110698,0.12931411988173447,5.095598227340647e-07,1.2236531033120588,12.931411988173448,12.296350754110698,0.9508900316033894,1.2632778563279703
20,100,1.6675583709003989e-12,19.485538066855266,0.2693240706482485,1.9041612787652376e-06,2.0380317701515045,26.932407064824847,19.485538066855266,0.7234978299546204,2.0232018810237054
30,100,1.5243330633171342e-15,21.732783544460233,0.353340113920901,2.425002840983667e-06,2.3229714843053704,35.3340113920901,21.732783544460233,0.6150669762144627,2.9702981409354297
40,100,2.18292735696404e-12,28.716157977920957,0.4580914214623934,6.258424502893932e-06,2.977892983534096,45.80914214623934,28.716157977920957,0.6268652201835302,3.362947846976177
50,100,2.414629255682814e-12,32.511784583711695,0.5027274993488099,6.818400507029452e-06,3.350852650383951,50.27274993488099,32.511784583711695,0.6467079009169913,3.142559607039254
60,100,5.3394358173294684e-14,31.183824767205117,0.5144820993358842,4.107902833136032e-06,3.2398828391939056,51.448209933588416,31.183824767205117,0.6061206951118134,3.526182200368864
70,100,8.008805239084732e-12,31.502047330441506,0.516003796291686,6.485557587007614e-06,3.289855039182023,51.60037962916861,31.502047330441506,0.6105003016806113,3.5155830103889456
80,100,9.870616749884599e-14,31.155874291579764,0.5472337618439246,3.813639453521689e-06,3.2632770929629498,54.72337618439246,31.155874291579764,0.5693339202354563,3.974645931850936
90,100,6.940885602491859e-12,27.040615959183114,0.5123849703127132,2.993107582349522e-06,2.888560314887949,51.23849703127133,27.040615959183114,0.527740225141264,4.293783508122503
100,100,9.134624417014368e-13,31.360480863280756,0.5183770772510518,3.188167192205055e-06,3.2538329876839,51.837707725105176,31.360480863280756,0.6049742984312705,3.73689760024839
125,100,4.583410375221271e-12,29.631583828945125,0.5805743624873732,4.066618449480984e-06,3.1957024520218513,58.05743624873731,29.631583828945125,0.5103839532629997,4.7124942601480075
150,100,2.0306382417475404e-16,23.226333005004626,0.4737272642514618,3.44726656187525e-06,2.512200447799538,47.372726425146176,23.226333005004626,0.4902891338058121,5.044568975770566
175,100,8.162664303619102e-13,13.840760136102602,0.30254581103980255,1.416742884899096e-06,1.535850853302906,30.254581103980254,13.840760136102602,0.4574765087156249,5.306004740005702
200,100,2.4877750517959704e-13,18.135035269641072,0.3586998798555124,1.9635194785978537e-06,1.922914755048717,35.86998798555124,18.135035269641072,0.5055768425945956,5.148406662979941
250,100,3.5181164224868192e-15,12.602118327742712,0.27978209327353204,6.204539274907638e-07,1.3722288517411376,27.978209327353206,12.602118327742712,0.4504261934813002,5.919987369247625
300,100,1.2944814156979116e-15,9.778624630213503,0.2148640608276696,3.180071790007214e-07,1.0542038136891685,21.48640608276696,9.778624630213503,0.4551075034394137,6.080913442621235
400,100,6.894845782581839e-15,8.391123593203336,0.20635034118253454,3.918678690019334e-07,0.9329633332348253,20.635034118253454,8.391123593203336,0.40664452237472526,6.973493099129298
500,100,1.644341805859918e-17,6.360527129388592,0.18739432362273603,1.363155605875628e-07,0.7426725824362082,18.739432362273604,6.360527129388592,0.3394194128416431,8.436065661890465
750,100,5.8221217573312486e-15,4.583849591895204,0.15750945030759195,7.890405056082485e-08,0.5593894023315067,15.750945030759194,4.583849591895204,0.2910206075218753,9.89763373241416
1000,100,1.805381290612462e-14,5.350170748638673,0.16804464050917173,6.87855605497809e-08,0.619508475043158,16.804464050917172,5.350170748638673,0.3183779460283749,10.071709392250272
1250,100,8.304856002119267e-15,3.753220269267887,0.13523059632678205,6.663956244403248e-08,0.47334966360567354,13.523059632678205,3.753220269267887,0.2775422405295252,10.104078527647554
1500,100,1.0584488055468567e-14,4.608381065005759,0.14439972434188797,8.590768187301168e-08,0.5322523182388502,14.439972434188798,4.608381065005759,0.319140572186601,10.197596345282783
1750,100,5.882999308145401e-15,4.018969094279736,0.1396419091321446,7.720601080373248e-08,0.4831317025587827,13.96419091321446,4.018969094279736,0.28780536726095196,10.950557613270135
2000,100,3.7389402858357065e-15,3.5986186141394327,0.12959353394102918,7.74310629809192e-08,0.43146755228451517,12.95935339410292,3.5986186141394327,0.27768504374430936,11.902866318000816
2500,100,6.638835241254019e-16,2.8490085906089693,0.1190499323749072,8.611519103184829e-08,0.36924587958689425,11.90499323749072,2.8490085906089693,0.23931207131113585,12.608076832054273
5000,100,8.855612344592272e-15,1.856707920099303,0.10376052898434704,2.874103830806462e-07,0.27013758302120744,10.376052898434704,1.856707920099303,0.17894163978090355,16.40803979917585
