n_train,num_eigs,min_eig,max_eig,mean_eig,median_eig,std_eig,trace,top_eigenvalue,R1,effective_rank
10,100,2.4240490736922233e-14,2.0957834127013264,0.031340891272129884,3.155321654803503e-09,0.23050105207828028,3.134089127212988,2.0957834127013264,0.6687057475500122,1.9720404913537437
20,100,2.9848124531477984e-15,3.6602676608820226,0.056997632899374595,3.3393649868634834e-09,0.39418052913771473,5.69976328993746,3.6602676608820226,0.6421788896644135,2.411609461153053
30,100,4.939774096701702e-15,4.123149818351104,0.08660730462175317,9.431456454375611e-10,0.49259278062406164,8.660730462175318,4.123149818351104,0.4760741413623778,3.5680908397126023
40,100,2.4234894186959912e-15,3.939938855484305,0.07629573503560022,9.2796964440255e-10,0.4549812125716778,7.629573503560022,3.939938855484305,0.5164035517379703,3.1662670924635723
50,100,3.092379557797861e-17,3.424313634457431,0.07190184803186878,1.3547345276752742e-11,0.41906747672788036,7.190184803186878,3.424313634457431,0.47624834801738136,3.238306897701391
60,100,3.684777019379421e-16,2.3660813330855133,0.0535813111723314,2.2415187819814597e-11,0.2928957396653475,5.35813111723314,2.3660813330855133,0.4415870536418159,3.720141176990262
70,100,6.847469262005437e-16,2.812675817112223,0.07446512268438275,3.491290323016833e-11,0.37219409207017046,7.446512268438275,2.812675817112223,0.3777172071593341,4.280966039220463
80,100,7.341071902583214e-18,1.798488985889671,0.057717637668795695,4.437444889704697e-12,0.2718176301902322,5.77176376687957,1.798488985889671,0.31160128143324917,4.611286266459323
90,100,-9.683297123065758e-18,1.6800904787788837,0.049816193483238645,6.0290132941907e-13,0.2539564948577927,4.981619348323864,1.6800904787788837,0.3372578997518495,4.06662967963257
100,100,-4.893118588654464e-19,1.851063454250241,0.056495818175014964,3.731704543112535e-12,0.274238018284477,5.649581817501496,1.851063454250241,0.3276461009053704,4.591805063886245
125,100,-2.313349744112129e-17,1.7051992730258982,0.051651934266746365,6.346672934179427e-13,0.2496510295354831,5.165193426674636,1.7051992730258982,0.3301327040764298,4.6712160781577445
150,100,7.16272791636902e-17,1.5522763145101417,0.049234471594850365,2.1252904939194775e-11,0.23041959449403548,4.923447159485036,1.5522763145101417,0.31528241580082295,4.9732702725549105
175,100,1.422363460192396e-17,1.4119675988261637,0.05390745774726899,1.4874995269289985e-12,0.23073452440274186,5.3907457747268985,1.4119675988261637,0.2619243529245628,5.518250912824703
200,100,-2.312982801200893e-17,1.5088776231427228,0.05070542801709377,5.604062006055774e-12,0.2213981548148497,5.070542801709377,1.5088776231427228,0.29757713959816123,5.447521811963064
250,100,-3.1855235276197764e-17,0.9313006207112008,0.031141961723351277,3.351448409596507e-14,0.14443642611776022,3.1141961723351277,0.9313006207112008,0.29905008200330574,4.810458251693201
300,100,-3.589672293271309e-17,1.0440984019244894,0.029326834613225272,1.1352056269705019e-14,0.14291794343219646,2.932683461322527,1.0440984019244894,0.3560215126161762,4.614204013126305
400,100,-2.7385026598043248e-17,0.9065748164034072,0.025544999069661324,5.3670868848342067e-14,0.12575742871576623,2.5544999069661323,0.9065748164034072,0.35489326655725206,4.429347104929311
500,100,1.6292150340257037e-15,0.7064706198057035,0.01621141533421195,6.4620627950561366e-12,0.09212217280243458,1.621141533421195,0.7064706198057035,0.43578589854199523,3.2442460411808547
750,100,-2.0413859822709425e-17,0.3586741470890604,0.007626471499701443,3.746160249382595e-15,0.047397312628203736,0.7626471499701443,0.3586741470890604,0.4703015635777327,2.691055286699998
1000,100,-6.684386310709366e-18,0.33951296257269487,0.005006235851856805,2.7296886266533442e-15,0.03553389876601907,0.5006235851856805,0.33951296257269487,0.6781801189945337,2.3274019340638685
1250,100,-8.483685776689134e-18,0.3283707625104711,0.003283718931880933,2.2901451822494475e-15,0.03267247720492383,0.3283718931880933,0.3283707625104711,0.9999965567161939,1.000046764854077
1500,100,-7.352294642844126e-19,0.22741651271784,0.002274165127240097,1.9839982196083338e-14,0.022627657314478664,0.22741651272400967,0.22741651271784,0.9999999999728706,1.0000000002735807
1750,100,3.819304579023372e-18,0.24950603319044312,0.0024950603861591115,2.0608707302502445e-11,0.024825536845227026,0.24950603861591114,0.24950603319044312,0.9999999782551635,1.000000474344467
2000,100,-2.35963745775157e-18,0.17164958058614369,0.0017164958058711606,1.7206223618975957e-15,0.017078917626782358,0.17164958058711605,0.17164958058614369,0.9999999999943352,1.0
2500,100,-3.38540271213172e-17,0.16696425327566536,0.0016696425327566552,8.652785103189511e-19,0.01661273344551748,0.16696425327566553,0.16696425327566536,0.999999999999999,1.0
5000,100,-8.037362457228224e-18,0.03663222691288797,0.00036632226912887975,6.7801435053310815e-22,0.003644860557156253,0.03663222691288798,0.03663222691288797,0.9999999999999998,1.0
