n_train,num_eigs,min_eig,max_eig,mean_eig,median_eig,std_eig,trace,top_eigenvalue,R1,effective_rank
10,100,4.871137053992019e-13,8.013397403846103,0.0886321244961656,2.8521796964404903e-08,0.8006884710217702,8.86321244961656,8.013397403846103,0.9041188451025766,1.389287076039722
20,100,1.1708623088889576e-12,10.429593109136121,0.1507395112957166,1.7944744192175006e-07,1.1204368664406508,15.073951129571661,10.429593109136121,0.6918951122692466,2.0008000878025163
30,100,7.349581136148918e-13,11.4024749134448,0.20121465708270342,4.5976453484936294e-07,1.2566662595682694,20.121465708270343,11.4024749134448,0.5666821233981054,3.1937183338875768
40,100,1.1221880513403333e-12,14.720468748897414,0.26319674562537004,1.2124658941923686e-06,1.5893955599745015,26.319674562537006,14.720468748897414,0.5592952418131449,3.5205129586840016
50,100,7.45403244765758e-13,15.471078383455144,0.2714217795878441,2.800395164236999e-07,1.6329953833009254,27.14217795878441,15.471078383455144,0.5700013612374102,3.7192402860034175
60,100,2.209534718816016e-14,13.692028402513133,0.2471284985346449,5.323830345011554e-07,1.460736501835865,24.71284985346449,13.692028402513133,0.5540448990586024,3.7917655709918665
70,100,1.4079502540204704e-12,13.501032566316102,0.24795030228433432,7.95173282993236e-07,1.4455311928701462,24.795030228433433,13.501032566316102,0.5445055901095026,3.9605491437506304
80,100,2.933743552647077e-13,12.394431838892306,0.24203819665465132,5.753115173448132e-07,1.347620898148042,24.203819665465133,12.394431838892306,0.5120857786168816,4.2845607459004995
90,100,1.1128538351957937e-12,12.329442543514666,0.24165932210637783,5.236943002620165e-07,1.349216875530625,24.165932210637784,12.329442543514666,0.5101993349996767,4.256075811696817
100,100,2.43257438647661e-12,12.123958988461386,0.24422379395391544,4.5202379284142234e-07,1.310459512753723,24.422379395391545,12.123958988461386,0.4964282469032953,4.7191943711446305
125,100,1.4775845207612127e-14,11.77020688604447,0.25082659625697135,4.990644889753296e-07,1.2924489739933893,25.082659625697136,11.77020688604447,0.46925673200883034,5.192235084036539
150,100,2.1303821356483995e-12,12.410670864807912,0.25923574379604153,6.701727443897897e-07,1.3418964488366125,25.92357437960415,12.410670864807912,0.4787407277667788,5.301937195884568
175,100,5.075233423250673e-13,7.9916415866822454,0.1968282582701274,6.352894899739897e-07,0.928460717493741,19.68282582701274,7.9916415866822454,0.40602104885338697,5.761375804315896
200,100,3.03877667500777e-13,9.507189925302491,0.2195763180815054,7.62907819144105e-07,1.0565221709040127,21.95763180815054,9.507189925302491,0.43297883890071787,5.929274390260039
250,100,1.1675158050530464e-13,6.702135140929473,0.17396085701464972,5.311945868135766e-07,0.7557454217021378,17.396085701464973,6.702135140929473,0.385266850022765,7.179107836133524
300,100,1.8492664824116967e-13,6.248266824859895,0.16268075329909704,5.48188322613923e-07,0.7134989157245902,16.268075329909703,6.248266824859895,0.38408150307566696,6.947774560360819
400,100,5.865773774759121e-13,4.576513302193192,0.15451611995998504,9.86881523918524e-07,0.5736352176414284,15.451611995998505,4.576513302193192,0.29618355051747147,9.058955664064
500,100,7.549496320252676e-13,4.024894622399298,0.14750845203773497,7.475288659682201e-07,0.5086362238248323,14.750845203773496,4.024894622399298,0.272858576359385,10.367172550031203
750,100,3.0954232166348434e-13,2.1077774189779004,0.12418847615003133,7.815004075611904e-07,0.35301153905242016,12.418847615003132,2.1077774189779004,0.16972407459380592,12.89413275305421
1000,100,1.1443325764410905e-14,2.3359574970771098,0.13433836201108387,1.7717064974806284e-06,0.36619205488625434,13.433836201108388,2.3359574970771098,0.17388610833920817,14.315107108005446
1250,100,1.355404777628982e-14,1.4999249681681506,0.12651153041201238,2.7631521759190264e-06,0.3141591884489129,12.651153041201239,1.4999249681681506,0.11856033701302307,16.250853911938435
1500,100,1.3190233995838617e-13,1.7715907754252744,0.1318043446314111,3.6417839821165087e-06,0.32457601786718254,13.18043446314111,1.7715907754252744,0.13441065090680446,16.739185636030435
1750,100,1.1004798614681435e-13,1.4047220174133288,0.12952912107239006,4.725780247811198e-06,0.29784798695020337,12.952912107239007,1.4047220174133288,0.10844835553452652,18.70668290587841
2000,100,6.210612207922215e-13,1.2745141364886132,0.13025603156249543,1.0967229739793875e-05,0.28654494406907455,13.025603156249543,1.2745141364886132,0.09784684219226464,19.920975015603283
2500,100,2.806191370538126e-13,1.0977949091052988,0.1291893099717248,2.824179656525022e-05,0.27104285864179883,12.91893099717248,1.0977949091052988,0.08497567711644015,21.59810776449185
5000,100,3.3363374899302196e-14,0.8978507038617758,0.13277368893912672,0.00036535601822791967,0.23996648292482162,13.277368893912673,0.8978507038617758,0.06762263751468237,27.08333543524568
