alpha,seed,T,d,r,beta,lambda_reg,covariance_type,rho,length_scale,eta,mask_value,n_steps,learning_rate,n_population_config,n_train,n_population,train_loss,population_risk,bayes_population_risk,empirical_bayes_risk,weight_norm,trace_s,top_eigenvalue,R1
0.5,0,4,50,50,1.0,0.0,identity,,,,1.0,500,0.001,5000,1250,5000,1.252321111319431,1.2548374807899454,1.0,1.004254533038861,2.7280602516173245,2.7280602516173253,0.676908238663084,0.248128038323853
1.0,0,4,50,50,1.0,0.0,identity,,,,1.0,500,0.001,5000,2500,5000,1.2482566091628102,1.2489641841729346,1.0,0.9963076447657666,1.763230853148765,1.7632308531487646,0.567859131209248,0.3220560315146307
2.0,0,4,50,50,1.0,0.0,identity,,,,1.0,500,0.001,5000,5000,5000,1.2522640674375212,1.250180744800542,1.0,0.9972684929503474,0.724054316550013,0.7240543165500132,0.2655789389518315,0.3667942209325767
3.0,0,4,50,50,1.0,0.0,identity,,,,1.0,500,0.001,5000,7500,5000,1.2470355663085888,1.2478347662796754,1.0,0.9985303675510312,0.4879363754352922,0.4879363754352921,0.1383696546348152,0.2835813470790623
5.0,0,4,50,50,1.0,0.0,identity,,,,1.0,500,0.001,5000,12500,5000,1.2482968063761697,1.2524042777693307,1.0,0.9988698818985596,0.2690743885537188,0.2690743885537188,0.0875069055003353,0.3252145474368149
0.5,0,6,50,50,1.0,0.0,identity,,,,1.0,500,0.001,5000,1250,5000,1.168235714677086,1.168013154591021,1.0,1.0015095991542753,2.2367506186742556,2.236750618674256,0.6940845143606833,0.3103092980352339
1.0,0,6,50,50,1.0,0.0,identity,,,,1.0,500,0.001,5000,2500,5000,1.1682802072877512,1.1658960398716895,1.0,0.9989577489163668,1.3800752728039944,1.380075272803995,0.4233107700291098,0.3067302040482473
2.0,0,6,50,50,1.0,0.0,identity,,,,1.0,500,0.001,5000,5000,5000,1.1643195501588917,1.1623993364929233,1.0,0.9946715873280612,0.5995460869393984,0.5995460869393983,0.1967144609319105,0.3281056539558305
3.0,0,6,50,50,1.0,0.0,identity,,,,1.0,500,0.001,5000,7500,5000,1.1660940859594755,1.1638970878254529,1.0,0.9991905859282706,0.4798802643797121,0.479880264379712,0.1450532024438797,0.3022695726638685
5.0,0,6,50,50,1.0,0.0,identity,,,,1.0,500,0.001,5000,12500,5000,1.1651281028554588,1.164245125677067,1.0,0.9973804662927968,0.4500534860191527,0.4500534860191527,0.1913690233919928,0.4252139564226124
0.5,0,4,50,50,1.0,0.0,toeplitz,0.2,,,1.0,500,0.001,5000,1250,5000,1.1170237425234997,1.122979703190412,0.9415384615384615,0.945308343755974,4.14758925691404,4.14758925691404,0.7336390918548494,0.1768832558893992
1.0,0,4,50,50,1.0,0.0,toeplitz,0.2,,,1.0,500,0.001,5000,2500,5000,1.1166064057623386,1.1169837938941425,0.9415384615384615,0.9386062792670185,3.275957993969406,3.2759579939694063,0.613592250438975,0.1873016233933752
2.0,0,4,50,50,1.0,0.0,toeplitz,0.2,,,1.0,500,0.001,5000,5000,5000,1.12013056521208,1.1180578284695897,0.9415384615384615,0.9397119810920324,2.5935774877592057,2.5935774877592057,0.4332597385815829,0.1670510098990371
3.0,0,4,50,50,1.0,0.0,toeplitz,0.2,,,1.0,500,0.001,5000,7500,5000,1.1150139703678914,1.115527301700195,0.9415384615384615,0.9401282476711708,2.4503346030668633,2.450334603066863,0.329455810641161,0.1344533967845904
5.0,0,4,50,50,1.0,0.0,toeplitz,0.2,,,1.0,500,0.001,5000,12500,5000,1.1164663716053096,1.120526141969301,0.9415384615384615,0.9408084020563688,2.24461205806948,2.24461205806948,0.278795624738069,0.1242065967416446
0.5,0,6,50,50,1.0,0.0,toeplitz,0.2,,,1.0,500,0.001,5000,1250,5000,1.0807030285078654,1.079839255126522,0.9353846153846154,0.9367410645929896,3.244050956437018,3.2440509564370177,0.7595913998396819,0.2341490346606487
1.0,0,6,50,50,1.0,0.0,toeplitz,0.2,,,1.0,500,0.001,5000,2500,5000,1.079595629677009,1.0770592210987842,0.9353846153846154,0.934791771592436,2.4920389303885004,2.4920389303885,0.4688006099563498,0.188119296307809
2.0,0,6,50,50,1.0,0.0,toeplitz,0.2,,,1.0,500,0.001,5000,5000,5000,1.0753790779561512,1.074237161344898,0.9353846153846154,0.930700934654486,1.9640054953636237,1.964005495363624,0.4934823280062297,0.2512632114172697
3.0,0,6,50,50,1.0,0.0,toeplitz,0.2,,,1.0,500,0.001,5000,7500,5000,1.0773152726345827,1.076053525513742,0.9353846153846154,0.934132262861936,1.7625049803389703,1.7625049803389703,0.4351329776262558,0.2468832613128672
5.0,0,6,50,50,1.0,0.0,toeplitz,0.2,,,1.0,500,0.001,5000,12500,5000,1.0774727965597402,1.0761418703078929,0.9353846153846154,0.9335338891160404,1.6824301692490131,1.6824301692490131,0.3274595609123754,0.1946348602738998
0.5,0,4,50,50,1.0,0.0,toeplitz,0.5,,,1.0,500,0.001,5000,1250,5000,0.8266020697612048,0.8347054191328785,0.675,0.6773668761523542,7.4661501460555,7.466150146055501,0.7982519428806999,0.1069161384736456
1.0,0,4,50,50,1.0,0.0,toeplitz,0.5,,,1.0,500,0.001,5000,2500,5000,0.8307662436717282,0.8300478484225583,0.675,0.6734119966296875,7.005558926323533,7.005558926323532,0.6193115378622167,0.0884028732575698
2.0,0,4,50,50,1.0,0.0,toeplitz,0.5,,,1.0,500,0.001,5000,5000,5000,0.8334446867456529,0.8305866629725006,0.675,0.6741579487664282,6.569796763410073,6.569796763410074,0.6258854325379981,0.0952670919782197
3.0,0,4,50,50,1.0,0.0,toeplitz,0.5,,,1.0,500,0.001,5000,7500,5000,0.8287409256950006,0.828082963731511,0.675,0.67302363444799,6.5621053317125995,6.562105331712599,0.6060177796682193,0.0923511204155052
5.0,0,4,50,50,1.0,0.0,toeplitz,0.5,,,1.0,500,0.001,5000,12500,5000,0.8299111703605929,0.8329847175511664,0.675,0.6748520782576668,6.517593015631171,6.51759301563117,0.5412133337161176,0.0830388354133379
0.5,0,6,50,50,1.0,0.0,toeplitz,0.5,,,1.0,500,0.001,5000,1250,5000,0.86420410488381,0.8661584522333556,0.65,0.6511502881237284,6.274257402341216,6.274257402341215,1.2584398906274563,0.2005719258757018
1.0,0,6,50,50,1.0,0.0,toeplitz,0.5,,,1.0,500,0.001,5000,2500,5000,0.8621621215078329,0.8619049137958278,0.65,0.6501232231742079,5.57233110353522,5.572331103535218,0.8366477024036951,0.1501432141878478
2.0,0,6,50,50,1.0,0.0,toeplitz,0.5,,,1.0,500,0.001,5000,5000,5000,0.8588091772533102,0.8598296076969516,0.65,0.6470999483655112,5.276700208564578,5.276700208564578,0.7140475350616915,0.135320845763177
3.0,0,6,50,50,1.0,0.0,toeplitz,0.5,,,1.0,500,0.001,5000,7500,5000,0.8613943843014757,0.8618872370731769,0.65,0.6485816468171962,5.032223008374108,5.032223008374106,0.6748998459086752,0.1341156472568041
